Force,Aero 2,Blue,Blue 20,Feather PRO,Green,Green 20,Jelly Webbing,Jybn,Lift 2be,Mantra MK4,Spider Silk MK3
1 kN,0.19%,0.83%,0.83%,0.4%,2.13%,2.13%,0.48%,0.58%,3.31%,0.26%,0.37%
2 kN,0.65%,1.25%,1.25%,1.3%,3.55%,3.55%,1.37%,1.65%,5.85%,0.56%,0.78%
3 kN,1.67%,1.67%,1.67%,2.39%,4.62%,4.62%,2.21%,5.86%,8.53%,0.92%,0.93%
4 kN,3.07%,2.09%,2.09%,3.61%,5.33%,5.33%,2.96%,8.09%,9.59%,1.33%,1.09%
5 kN,4.73%,2.5%,2.5%,4.88%,6.39%,6.39%,3.84%,9.78%,10.98%,1.78%,1.21%
6 kN,6.5%,3.76%,3.76%,6.15%,8.52%,8.52%,4.5%,12.84%,12.88%,2.26%,1.8%
7 kN,8.3%,5.01%,5.01%,7.38%,9.59%,9.59%,5.1%,15.56%,14.42%,2.75%,1.87%
8 kN,10.02%,6.26%,6.26%,8.52%,10.3%,10.3%,5.72%,17.21%,15.39%,3.25%,1.93%
9 kN,11.6%,6.68%,6.68%,9.56%,11.01%,11.01%,6.38%,18.37%,16.22%,3.73%,2.21%
10 kN,12.99%,7.51%,7.51%,10.46%,11.72%,11.72%,7.01%,19.6%,16.9%,4.21%,2.36%
11 kN,14.16%,7.93%,7.93%,11.22%,12.43%,12.43%,7.61%,20.43%,17.69%,4.67%,2.36%
12 kN,15.09%,8.77%,8.77%,11.83%,12.78%,12.78%,8.19%,21.05%,18.12%,5.11%,2.67%
